FIPS,total_pop,total_female,mom_work_dad_home_kids,single_dad_work_have_kids,dad_work_mom_home_kids,median_income,total_avg_family_size,married_couple_family_avg_family_size,single_dad_family_avg_family_size,single_mom_family_avg_family_size,college_grad_school_per,coll_grad_male_per,single_mom_work_have_kids_per,single_dad_work_have_kids_per,dad_work_mom_home_kids_per,mom_work_dad_home_kids_per,total_HH_per,total_families_x_per,married_couple_family_total_families_per,single_dad_family_total_families,single_mom_family_total_families_per,white_per,black_per,ame_indian_per,asian_per,hawa_per,other_race_per,mixed_race_per,hispanic_per,born_texas_per,born_otherstate_per,born_ne_per,born_midwest_per,born_south_per,born_west_per,born_outsideus_per,born_europe_per,born_asia_per,born_africa_per,born_latinam_per,born_northam_per,total_male_per,total_female_per,total15_44_per,totalmale_15_44_per,prof_grad_school_per,college_undergrad_per,coll_grad_female_per,parents_work_have_kids_per,below_poverty_per,below_poverty_18_34_per,below_poverty_35_64_per,below_poverty_over_60_per,below_poverty_male_per,below_poverty_female_per,below_poverty_white_per,below_poverty_black_per,below_poverty_amerind_per,below_poverty_asian_per,below_poverty_hawaii_per,below_poverty_hispanic_per,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,rental_prices
48157670100,5158.0,2587.0,0.0,33.0,135.5,54137.0,3.46,3.53,3.09,3.43,0.05331523846452113,0.023264831329972858,0.021229158588600232,0.006397828615742536,0.026269872043427685,0.0,0.3518805738658395,0.2341993020550601,0.1533540131834044,93.0,0.05244280728964715,0.6330942225668864,0.11525785188057387,0.0,0.02636680884063591,0.0,0.050310197751066314,0.018805738658394727,0.3752423419930205,0.5472082202404033,0.16886390073671967,0.021035284994183792,0.03664210934470725,0.07677394338891043,0.02975959674292361,0.010275300504071343,0.0005816207832493213,0.007367196587824737,0.0,0.097712291585886,0.0,0.4962194649088794,0.5015509887553316,0.4246801085692129,0.21626599457153936,0.007754943776657619,0.045366421093447074,0.030438154323381164,0.03518805738658395,0.15354788677782086,0.03809616130283056,0.04410624272974021,0.0158006979449399,0.06911593640946104,0.08210546723536255,0.07531989143078713,0.014637456378441256,0.0,0.0,0.0,0.06203955021326096,0.09746104245029552,0.09114062439850636,0.0900394666195228,0.09933872460633487,1476.0
48157670400,5279.0,2921.0,4.0,0.0,100.0,57500.0,3.83,4.42,3.62,3.25,0.06971017238113279,0.028793332070467893,0.048494032960788025,0.0,0.018942981625307824,0.0007577192650123129,0.3171055124076529,0.23470354233756394,0.11290017048683462,69.0,0.1087327145292669,0.10191324114415608,0.7865125970827809,0.0,0.0005682894487592348,0.0,0.06971017238113279,0.04129569994317105,0.15078613373745028,0.6688766811896193,0.18848266717181286,0.012123508240197006,0.05171433983709036,0.11119530214055692,0.013449516953968557,0.006819473385110817,0.0,0.0005682894487592348,0.01060806971017238,0.049820041674559584,0.004735745406326956,0.4466755067247585,0.5533244932752415,0.4008334911915136,0.1784428869103997,0.012691797688956242,0.05701837469217655,0.0409168403106649,0.03201363894677022,0.09717749573782912,0.02689903390793711,0.01610153438151165,0.0005682894487592348,0.04659973479825725,0.050577760939571885,0.010039780261413144,0.07160447054366358,0.0,0.0005682894487592348,0.0,0.011176359158931616,0.07126732056671338,0.051053555750658466,0.0666851903306474,0.07037874872038682,1476.0
48157672000,5158.0,2587.0,0.0,33.0,135.5,54137.0,3.46,3.53,3.09,3.43,0.05331523846452113,0.023264831329972858,0.021229158588600232,0.006397828615742536,0.026269872043427685,0.0,0.3518805738658395,0.2341993020550601,0.1533540131834044,93.0,0.05244280728964715,0.6330942225668864,0.11525785188057387,0.0,0.02636680884063591,0.0,0.050310197751066314,0.018805738658394727,0.3752423419930205,0.5472082202404033,0.16886390073671967,0.021035284994183792,0.03664210934470725,0.07677394338891043,0.02975959674292361,0.010275300504071343,0.0005816207832493213,0.007367196587824737,0.0,0.097712291585886,0.0,0.4962194649088794,0.5015509887553316,0.4246801085692129,0.21626599457153936,0.007754943776657619,0.045366421093447074,0.030438154323381164,0.03518805738658395,0.15354788677782086,0.03809616130283056,0.04410624272974021,0.0158006979449399,0.06911593640946104,0.08210546723536255,0.07531989143078713,0.014637456378441256,0.0,0.0,0.0,0.06203955021326096,0.09746104245029552,0.09114062439850636,0.0900394666195228,0.09933872460633487,1476.0
48201100000,4712.0,1313.0,0.0,0.0,20.0,98508.0,2.24,2.24,2.18,2.33,0.05793718166383701,0.03968590831918506,0.0,0.0,0.004244482173174873,0.0,0.475169779286927,0.09995755517826824,0.09571307300509338,11.0,0.0019100169779286925,0.7086162988115451,0.16553480475382004,0.0061544991511035645,0.049023769100169784,0.0,0.04223259762308999,0.02843803056027165,0.21116298811544992,0.4153225806451613,0.39240237691001706,0.06133276740237691,0.13773344651952465,0.14622241086587434,0.04711375212224109,0.01697792869269949,0.018887945670628185,0.012096774193548387,0.00233446519524618,0.09019524617996603,0.0,0.7213497453310697,0.2786502546689304,0.5248302207130731,0.374151103565365,0.03713921901528013,0.020797962648556875,0.01825127334465195,0.008701188455008491,0.12096774193548387,0.03777589134125637,0.0730050933786078,0.00933786078098472,0.0948641765704584,0.02610356536502547,0.05942275042444821,0.05029711375212224,0.0,0.011247877758913413,0.0,0.01061120543293718,0.7887939224221202,0.8927716695829307,0.8785891040725672,0.8851156500111382,1476.0
48201210300,5158.0,2587.0,0.0,33.0,135.5,54137.0,3.46,3.53,3.09,3.43,0.05331523846452113,0.023264831329972858,0.021229158588600232,0.006397828615742536,0.026269872043427685,0.0,0.3518805738658395,0.2341993020550601,0.1533540131834044,93.0,0.05244280728964715,0.6330942225668864,0.11525785188057387,0.0,0.02636680884063591,0.0,0.050310197751066314,0.018805738658394727,0.3752423419930205,0.5472082202404033,0.16886390073671967,0.021035284994183792,0.03664210934470725,0.07677394338891043,0.02975959674292361,0.010275300504071343,0.0005816207832493213,0.007367196587824737,0.0,0.097712291585886,0.0,0.4962194649088794,0.5015509887553316,0.4246801085692129,0.21626599457153936,0.007754943776657619,0.045366421093447074,0.030438154323381164,0.03518805738658395,0.15354788677782086,0.03809616130283056,0.04410624272974021,0.0158006979449399,0.06911593640946104,0.08210546723536255,0.07531989143078713,0.014637456378441256,0.0,0.0,0.0,0.06203955021326096,0.09746104245029552,0.09114062439850636,0.0900394666195228,0.09933872460633487,1476.0
48201210500,5649.0,2701.0,0.0,0.0,235.0,33426.0,3.64,3.58,3.1,3.89,0.06266595857673925,0.026376349796424142,0.05452292441140025,0.0,0.04160028323597097,0.0,0.3273145689502567,0.2354399008674101,0.12851832182687198,124.0,0.0849707912904939,0.7803151000177022,0.1488759072402195,0.0053106744556558685,0.0,0.012568596211718887,0.034519383961763135,0.018410338112940343,0.7955390334572491,0.654275092936803,0.08320056647194192,0.0,0.020888652858913084,0.016286068330677996,0.04602584528235086,0.009382191538325368,0.0,0.0,0.0,0.18658169587537615,0.003186404673393521,0.5218622765091167,0.4781377234908834,0.4491060364666313,0.2267657992565056,0.017171180739953974,0.045494777836785266,0.0362896087803151,0.009028146574614976,0.3018233315631085,0.05735528412108337,0.06992388033280228,0.0364666312621703,0.13630731102850066,0.1655160205346079,0.2016286068330678,0.0849707912904939,0.002301292264117543,0.0,0.0,0.19844220215967429,0.12494907757667463,0.14605067064083455,0.12155260469867213,0.12623051681706315,1628.0
48201210600,5289.0,2460.0,0.0,77.0,111.0,51295.0,3.24,3.19,2.29,3.69,0.07997731140102099,0.0224995273208546,0.0238230289279637,0.014558517678200038,0.02098695405558707,0.0,0.3853280393269049,0.2571374550954812,0.1709207789752316,112.0,0.06504065040650407,0.9338249196445452,0.011155227831348079,0.005861221402911704,0.0,0.0,0.04065040650406504,0.008508224617129892,0.8120627717905086,0.6207222537341652,0.07978823974286255,0.004915863112119493,0.010966156173189641,0.01588201928530913,0.04802420117224429,0.02684817545849877,0.0,0.0,0.0,0.18472301002079788,0.0,0.5348837209302325,0.4651162790697674,0.4664397806768765,0.23482699943278504,0.0166383059179429,0.06333900548307808,0.057477784080166384,0.06277179050860276,0.2041973908111174,0.04688977122329363,0.06825486859519757,0.003214218188693515,0.10909434675742108,0.09510304405369636,0.20211760257137454,0.002079788239742863,0.0,0.0,0.0,0.17073170731707318,0.13594832101495666,0.13561847988077494,0.08375893769152196,0.1333059885151764,1628.0
48201210800,2863.0,1276.0,6.0,32.0,84.0,30980.0,4.28,4.11,3.85,5.21,0.04121550820817325,0.014669926650366746,0.014669926650366746,0.011177086971707998,0.029339853300733493,0.00209570380719525,0.31330771917568984,0.18756549074397488,0.10234020258470136,130.0,0.03981837233670975,0.6280125742228432,0.32727907789032484,0.0,0.003143555710792875,0.0,0.026545581557806498,0.015019210618232625,0.6049598323436954,0.6273140062871114,0.11281872162067763,0.013272790778903249,0.020258470136220747,0.07230178134823613,0.006985679357317499,0.003143555710792875,0.0,0.003143555710792875,0.0,0.19559902200489004,0.0,0.5543136570031435,0.4456863429968565,0.4579112818721621,0.2661543835137967,0.004540691582256375,0.036674816625916866,0.026545581557806498,0.019210618232623117,0.3258819420188613,0.06356968215158924,0.08871812783793225,0.03877052043311212,0.16765630457561995,0.15822563744324136,0.19874257771568285,0.1271393643031785,0.0,0.0,0.0,0.18931191058330424,0.2793756167012129,0.3013193005121413,0.28606601154981826,0.2812106330330253,1476.0
48201210900,1251.0,612.0,0.0,18.0,16.0,25625.0,3.3,3.15,3.09,3.49,0.016786570743405275,0.016786570743405275,0.023181454836131096,0.014388489208633094,0.012789768185451637,0.0,0.4212629896083134,0.24620303756994405,0.08792965627498002,53.0,0.11590727418065548,0.12949640287769784,0.7873701039168665,0.0,0.0,0.0,0.06954436450839327,0.013589128697042364,0.1742605915267786,0.6810551558752997,0.2406075139888089,0.0,0.01518784972022382,0.2254196642685851,0.0,0.014388489208633094,0.0,0.0,0.0,0.046362909672262184,0.0,0.5107913669064749,0.4892086330935252,0.2829736211031175,0.10871302957633892,0.005595523581135092,0.011191047162270184,0.0,0.0,0.18705035971223025,0.048760991207034365,0.1135091926458833,0.035171862509992005,0.03996802557953637,0.14708233413269384,0.02238209432454037,0.15987210231814547,0.0,0.0,0.0,0.005595523581135092,0.06921459266709336,0.04460093896713615,0.04502046384720328,0.06612362242453282,1195.0
48201211000,2059.0,953.0,0.0,0.0,79.0,30952.0,3.67,3.77,3.29,3.65,0.05148130160271977,0.022340942204953862,0.02622632345798932,0.0,0.038368139873725116,0.0,0.3623118018455561,0.2229237493929092,0.10733365711510442,48.0,0.09227780475959203,0.4040796503156872,0.5390966488586693,0.0,0.0,0.0,0.05488101019912578,0.001942690626517727,0.4550752792617776,0.7183098591549296,0.0932491500728509,0.003885381253035454,0.0,0.07722195240407967,0.012141816415735794,0.001942690626517727,0.0,0.0,0.0033997085964060218,0.17727051966974258,0.0,0.5371539582321515,0.4628460417678485,0.3695968916949976,0.21612433220009716,0.001942690626517727,0.04953861097620204,0.029140359397765905,0.033511413307430786,0.2914035939776591,0.06750849927149101,0.08207867897037396,0.04516755706653716,0.16415735794074793,0.12724623603691113,0.13404565322972314,0.1515298688683827,0.0,0.0,0.0,0.13987372510927634,0.0906098564505806,0.09976525821596244,0.08594815825375171,0.09095991055741896,1195.0
